Year,Jersey,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE
2013,7,"Meyer, Lindsay",118,32,28,48,0.41,22,0.19,5,56,0.304,774,6.56,22,0.19,5,317,2.69,1,0,0,0.01,0,8,8,0.07,2,7
2013,8,"Ewing , Allie",71,28,12,132,1.86,114,1.61,68,335,0.137,2,0.03,0,0,0,22,0.31,0,0,0,0,0,36,36,0.51,1,1
2013,9,"Miller, Hannah",115,32,31,254.5,2.21,189,1.64,58,460,0.285,11,0.1,23,0.2,9,82,0.71,0,0,0,0,3,79,82,0.71,4,0
2013,10,"Hubly, Savannah",15,9,0,1,0.07,0,0,1,3,-0.333,4,0.27,1,0.07,2,30,2,7,0,0,0.47,0,0,0,0,0,0
2013,11,"Rogers, Lexi",51,23,7,65.5,1.28,56,1.1,31,200,0.125,1,0.02,0,0,0,22,0.43,2,1,-1,0.04,0,19,19,0.37,3,0
2013,12,"Ploss, Jessica",101,31,27,205,2.03,133,1.32,44,336,0.265,0,0,0,0,0,10,0.1,2,1,-1,0.02,16,112,128,1.27,8,1
2013,13,"McDonough , Kersten",10,9,1,10.5,1.05,10,1,2,31,0.258,0,0,0,0,0,6,0.6,0,0,0,0,0,1,1,0.1,0,0
2013,14,"Roggemann , Kara",30,17,5,43.5,1.45,33,1.1,9,75,0.32,1,0.03,0,0,0,1,0.03,0,0,0,0,0,21,21,0.7,1,0
2013,15,"Siebenmorgen, Jory",109,31,11,272,2.5,235,2.16,108,663,0.192,5,0.05,4,0.04,4,72,0.66,4,0,0,0.04,2,62,64,0.59,10,0
2013,16,"Burkle, Chelsea",118,32,32,472.5,4,410,3.47,193,1161,0.187,14,0.12,26,0.22,28,322,2.73,48,49,0.02,0.41,2,69,71,0.6,3,0
